Title,Subtitle,Ingredients,Cooking tools,Instructions
Sweet Potato Mash (NF option),Prep+Cooking time: 30 mins  Servings: 4,4 medium sweet potatoes ½ cup cashew cream (blend ¼ soaked cashews with ½ cup of water). 4 tbsp chopped chives 2 tbsp nutritional yeast-OR- 2 tsp of lemon juice 1 ½ tsp salt pepper Note: Sub coconut milk if nut-free ,Pot OR Steamer Potato Masher ,"Peel and cut sweet potatoes into large pieces. Boil or steam until soft. Drain and mash your potatoes. Add cashew cream (or coconut milk) nutritional yeast, salt, pepper, and chives. Mix/mash to combine.  Enjoy! "
Cole Slaw (NF),Prep+Cooking time: 20 mins  Servings: 4,½ cup red cabbage sliced fine 1 cup green cabbage sliced fine ¼ cup grated carrot ½ cup vegan mayo  2 tbsp pickle juice OR 1 tbsp apple cider vinegar/lemon juice ¼ tsp garlic granules 1 tbsp date paste Salt and pepper TO YOUR TASTE OPTIONAL TO MAKE YOUR OWN HV Mayo ,Knife Grater Mixing Bowl ,"Finely shred cabbages and grate carrots. Whisk together mayo, pickle juice, date paste, and seasonings. Add mixture to shredded cabbage and carrots. Mix to combine. Enjoy! Vegan Cheese & Garlic  "
Corn on the Cob,Prep+Cooking time: 30 mins  Servings: 4,4 corn on the cob (peeled) ½ cup pistachios  2 tbsp nutritional yeast 1 tsp garlic granules 1 tsp salt  Pepper to taste Lemon juice STEP-BY-STEP INSTRUCTIONS ,-1,"BOIL THE CORN Bring a pot of water to a boil. Add corn on the cob to the boiling water. Allow corn to boil for 15 minutes. Cover and let sit while preparing the crust. MAKE THE CRUMBS In a food processor grind pistachios, nutritional yeast, garlic, salt, and pepper to a fine crumb. FINISH THE CORN One by one brush corns with lemon juice and roll them in the crumb mixture until completely coated. Enjoy! "
Simple Asian-Style Fried Millet (NF),Prep+Cooking time: 30 mins  Servings: 4,1 cup cooked millet 1 small carrot diced ¼ cup peas 1/4 onion diced ⅓ cup chopped green onion 1 cloves garlic minced ¼ cup coco aminos Salt and pepper to your taste ,Knife  Wok or Frying Pan ,Heat ¼ cup of water on medium heat. Add onion and garlic and saute until softened. Add carrots and continue to cook until carrots are tender. Add millet and coconut aminos. Mix to combine. Add peas and green onion. Cook for 3-4 minutes.  Enjoy! MEALS 
Portobello Shawarma (NF),Prep+Cooking time: 1hr30mins  Servings: 3,PORTOBELLO MUSHROOMS 2 large minced garlic cloves 3 tsp ground coriander 3 tsp ground cumin 1 tsp ground cardamom ¼ tsp ground cayenne pepper (reduce to 1/8 tsp to make it not spicy) 2 tsp smoked paprika 1 tsp salt ¼ tsp black pepper 1 tbsp lemon juice 1/2 cup vegetable broth 2 tbsp date syrup 20 ounces portobello mushrooms Toppings ½ a sliced cucumber ½ cup diced tomatoes 3 leaves of lettuce 3 Flatbreads Vegan yogurt OPTIONAL TO MAKE YOUR OWN… HV Soft Flatbread HV Mint Yogurt Sauce ,Cast iron skillet Burger press or weight pan Sharp knife ,"PRESS THE MUSHROOMS Prepare mushrooms using the pressing technique as seen in the video.  MAKE THE MARINADE Prepare marinade by combining broth, date syrup, and spices in a container. Add cooked portobello mushrooms. Let sit in the marinade for 1+ hours. COOK THEM Add marinated portobellos back to the pan and cook for 2-3 minutes on each side. Slice into thin stripes. FINISH AND SERVE Using a soft flatbread add sliced shawarma portobello, cucumber, tomatoes, and mint yogurt sauce. Enjoy!  "
Jerk Portobello Steaks ,Prep+Cooking time: 30 mins  Servings: 4,"6 large portobello caps Jerk Sauce: 5 green onions 3 garlic cloves 1-inch ginger 1 tsp allspice 1 tsp thyme ½ tsp cinnamon ¼ tsp nutmeg ¼ cup coconut aminos ½ cup unsweetened pineapple juice ½ date past or 6-8 soft Medjool dates and ¼ cup water 1 scotch bonnet* 1 lime juice Note: Sub serrano, or habanero (remove seeds) for scotch bonnet ",Well-seasoned cast iron skillet Burger press or heavily weighted skillet Baking sheet Parchment paper ,PREPARE JERK SAUCE Add all ingredients to a high-speed blender. Blend until smooth. PRESS THE MUSHROOMS Place the mushrooms in a cast iron skillet on medium-high heat. Press with a burger press until all the excess moisture had evaporated. BAKE AND SERVE Brush pressed portobello mushrooms generously with jerk sauce and place pieces on a parchment-lined baking sheet. Bake at 350F for 15-20 minutes.  Add extra sauce as desired. Enjoy! 
Spaghetti and No-Meatballs,Prep+Cooking time: 45 minutes  Servings: 2,N0-MEATBALLS 3 cups veggie ground  3 tbsp psyllium husk powder OR 4 tbsp psyllium husks 3 tbsp arrowroot powder 2 tbsp chickpea flour ½ tsp garlic granules Pepper to taste Salt to taste Sauce: 24 oz jar of tomato puree 2 cloves of crushed garlic minced 2 tsp dried basil ½ tsp oregano ½ tsp Salt Pepper ½ cup vegan cheese OPTIONAL TO MAKE YOUR OWN… HV Cheese Sauce ,"Baking sheet Parchment Paper Saucepan Pot STEP-BY-STEP INSTRUCTIONS PREPARE THE NO-MEATBALLS Mix veggie ground, chickpea flour, ground flax, and spices. Roll into balls and place on a parchment-lined baking sheet. Makes approximately 16 balls. Bake at 350 for 15-20 minutes. Prepare the Pasta Sauce Add a small amount of water (2-3 tbsp) to a saucepan. Heat on medium until water is simmering. Add garlic and let simmer for a couple of minutes. Add tomato purée and seasoning. Simmer for 20 minutes. BOIL THE PASTA ","Top your pasta with sauce, veggies meat balls, and cheese sauce  Enjoy! "
Cabbage Rolls w/ Lentils and Veggies (NF),Prep+Cooking time: 1 hour  Servings: 2,1 head of cabbage 2 cups of cooked brown lentils 1 cup cooked tricolor quinoa ½ red pepper diced ½ yellow onion diced 8 oz mushrooms sliced 2.5 oz spinach 1 carrot grated 3 cloves garlic 1 tsp thyme 1 tsp sage 2 tsp dried basil 1 tsp friend oregano 1 tsp garlic powder 1 tsp onion powder 2 tsp salt 2 cups tomato sauce (oil-free) 1 cup vegan cheese or sauce OPTIONAL TO MAKE YOUR OWN… HV Cheese Sauce HV Simple Sauce ,Pot Frying Pan 9 x 13-inch glass bakeware Grater ,"PREPARE THE FILLING Begin by sautéing your garlic in onions on medium heat in a little water. Add mushrooms and peppers and sauté until soft, add carrots and spinach, and cook until spinach is just soft. Add cooked lentils and quinoa. Add seasoning and mix. PREPARE THE CABBAGE Add full cabbage head to a pot of boiling water. Cover and simmer for 10 minutes or until the first layer of leaves has softened. Loosen each leaf by cutting the stem at the base. Continue to steam the cabbage head as necessary, cutting and removing the cooked leaves as they become ready. In preparation for stuffing your cabbage, cut the larger hard stem from the leaves as shown in the video.  FILLING THE CABBAGE ROLLS Overlap cabbage leaves at the seem. Add filling and roll tightly. (As seen in the video) FINISH AND SERVE Add a thin layer of tomato sauce to the bottom of a glass baking dish. Add your cabbage rolls. Top with extra sauce and drizzle with cheese sauce. Bake covered at 375F for 10 minutes. Remove cover and bake for an additional 20 minutes, or until cabbage is cooked to your desired tenderness. Enjoy! "
Jerk Cauliflower (NF),Prep+Cooking time: 35 mins  Servings: 4,"One head of cauliflower JERK SAUCE 5 green onions 3 garlic cloves 1-inch piece ginger 1.5 tsp allspice 1.5 tsp thyme ½ tsp cinnamon ¼ tsp nutmeg ¼ cup coconut aminos ½ cup unsweetened pineapple juice 6-8 soft Medjool dates ¼ cup water 1 scotch bonnet* 1 lime juiced Salt to taste * If you are sensitive to spicy heat, I recommend reducing or omitting the scotch bonnet from the recipe. Scotch bonnet can be subbed with serrano or habanero. BREADING 1 cup Bread Crumbs 1 cup aquafaba OR oat milk mixed with 2 tsp ground flax ½ cup Arrowroot ¼ cup Oat flour OPTIONAL TO MAKE YOUR OWN… HV Almond Breadcrumbs ",Mixing Bowls Baking Sheet Parchment Paper Hgh-Speed Blender ,"Cut cauliflower into bite-size pieces. PREPARE THE SAUCE Add all ingredients to a high-speed blender. Blend until smooth. Enjoy! BREADING THE CAULIFLOWER Combine arrowroot and oat flour in a bowl. One at a time, dip cauliflower pieces into the liquid, then flour mixture, back in the liquid, and then bread crumbs. Continue until all pieces are nicely coated. BAKING IT! Add breaded pieces to a parchment-lined baking sheet. Bake at 350F for 10-13 minutes or until golden brown, flip and cook 7-10 minutes. Remove from the oven and brush with jerk sauce. Return to the oven for an additional 5-7 minutes. Remove from the oven, top with extra sauce if desired.  Enjoy! "
Chili Wraps,Prep+Cooking time: 15 mins  Servings: 2,1 cup of vegan chili 1/2 cup veggie ground ⅓ cup vegan sour cream 2 Organic Sprouted Corn Tortillas ½ an avocado Chives ,Knife OPTIONAL MAKE YOUR OWN HV Chili HV Sour Cream ,"Warm your tortillas, add chili, veggie ground, avocado, and sour cream. Top with chives. Enjoy! "
No-Chick’n Quesadilla , Prep+Cooking time: 20 mins  Servings: 2,BEAN FILLING 1 ½ cups  (1 15oz. can) cooked Pinto Beans 2 tbsp nutritional yeast ½ cup diced tomatoes 1/4 cup roughly chopped fresh cilantro 1 clove garlic  1/2 tsp paprika ½ tsp smoked paprika 1/4 tsp chipotle 1/4 ground cumin 1/2 tsp salt ½ lime squeezed ¼ cup water as needed Notes: Use 2 tbsp tomato paste to sub diced tomatoes. Use 3/4 tsp garlic granules to sub garlic clove. Mexican-Style Lion's Mane 2 cups of Lion’s Mane mushrooms broken into small pieces 1.5 tbsp coconut aminos 1.5 tsp garlic granules 1.5 tsp paprika ½ tsp onion granules ¼ tsp smoked paprika ½ tsp dried oregano ½ tsp cumin powder ¼ tsp salt 2 Tortillas/Flatbread ⅓ cup vegan cheese OPTIONAL TO MAKE YOUR OWN… HV almond flatbread HV Cheese Sauce ,"Knife Frying pan or cast iron skillet Burger press, or weighted pan Food processor ","PREPARE THE FILLING Combine the ingredients in the food processor. Process until combined. PREPARE THE MUSHROOMS Heat cast iron or stick free skillet to medium-high heat. Add mushrooms. Use “pressing technique” as shown in the video. Once most of the water has cooked off, add spice mixture and continue to cook for 2-3 minutes. PUTTING THE QUESADILLAS TOGETHER Begin by spreading a generous layer of filling on half of the flatbread. Top with veggies and black beans. Add HV cheese sauce. Fold the other half over. Heat skillet over medium and add quesadillas. Cook until lightly browned. Enjoy! "
Veggie Quesadilla,Prep+Cooking time: 20 mins  Servings: 2,BEAN FILLING 1 1/2 cups (1 15 oz. can) cooked Pinto Beans 2 tbsp cup nutritional yeast ½ cup diced tomatoes 1/4 cup roughly chopped fresh cilantro 1 cloves garlic  1/2 tsp paprika ½ tsp smoked paprika 1/4 tsp chipotle 1/4 ground cumin 1/2 tsp salt  ½ lime squeezed ¼ cup water as needed VEGGIES ⅓ cup diced red peppers ¼ cup diced red onion ⅓ cup cooked sliced mushrooms ⅓ cup black beans 2 Tortillas/Flatbread ⅓ cup vegan cheese OR cheese sauce Notes: Use 2 tbsp tomato paste to sub diced tomatoes. Use 3/4 tsp garlic granules to sub garlic clove. ,Knife Frying pan or cast iron skillet Food processor OPTIONAL TO MAKE YOUR OWN… HV Flatbread HV Cheese Sauce ,PREPARE THE FILLING Combine the ingredients in the food processor. Process until combined. PUTTING THE QUESADILLAS TOGETHER Begin by spreading a generous layer of filling on half of the flatbread. Top with veggies and black beans. Add HV cheese sauce. Fold the other half over. Heat skillet over medium and add quesadillas. Cook until lightly browned. Enjoy! 
Palak Tofu ,Prep+Cooking time: 55  mins  Servings: 4,Spinach: 7-8 cups chopped packed spinach 1 clove garlic 1-inch ginger 20 soaked cashews Gravy: 1 medium onion 2 clove garlic 1 serrano chili 2 medium size tomatoes 1.5 tsp cumin powder 1 bay leaf ¼ tsp turmeric ½ tsp paprika ½ cup water as needed ½ tsp garam masala ¼ cup cashew cream* Salt to taste Tofu: 15 oz tofu * 1 tbsp nutritional yeast ¼ tsp garam masala *Sub HV Mung Fu for tofu. ,Pot Blender Knife  Bowl Baking Sheet Parchment Paper ,"PREPARE THE TOFU Toss tofu with nutritional yeast and garam masala. Bake at 400 for 20 minutes, flipping halfway through cooking. PREPARE THE SPINACH Blanch spinach by adding it to boiling water and removing it as soon as the leaves are wilted. Immediately transfer to ice water. Drain and set aside. Add spinach to the blender with soaked cashews, 1 clove of garlic, and ginger, and blend until smooth. PREPARE GRAVY To a pan add ¼ cup of water. Heat to medium-high heat. Add onions and green chili and other garlic cloves (minced) Allow to cook until softened (3-5 minutes) Add water as necessary to prevent sticking. Add diced tomatoes and cook for 3-5 minutes.  Add turmeric, paprika, bay leaf, and cumin powder. Continue to cook for 5-7 minutes, or until tomatoes have broken down and the mixture is thickened. FINISHING THE DISH Add pureed spinach and garam masala. Mix to combine. Add tofu. Add cashew cream. Enjoy!! "
Zucchini Rolls ,Prep+Cooking time: 1 hour  Yields: 10 rolls,3 medium zucchini cut into very thin strips Filling: 5 oz. Baby spinach lightly steamed and drained 2 cups vegan  ricotta  ½ tsp garlic powder ¼ tsp black pepper ½ tsp salt Sauce: 24 oz jar of tomato puree 2 cloves of crushed garlic minced 2 tsp dried basil ½ tsp oregano ½ tsp Salt Pepper 1 cup vegan cheese sauce OPTIONAL TO MAKE YOUR OWN… HV cheese sauce HV ricotta cheese ,"Mandoline or sharp knife Glass Baking Pan Saute pan and lid Saucepan Preparing the Tomato Sauce Add a small amount of water (2-3 tbsp) to a saucepan. Heat on medium until water is simmering. Add garlic and let simmer for a couple of minutes. Add tomato purée and seasoning. Simmer for 20 minutes. Preparing the Zucchini Lightly simmer or steam zucchini strips for 3-5 minutes or just until they are soft enough to roll. Preparing the filling Combine  HV ricotta, spinach, and seasoning. Putting it Together Add a couple of spoonfuls of tomato sauce to the bottom of a 9x13-inch pan. Layer 3 strips of zucchini slightly overlapping as shown in the video. Add a spoonful of filling and roll. Place the rolls one by one into your pan seam side down. Drizzles cheese sauce over the top Bake at 375 for 20-25 minutes. If the zucchini releases water, just continue to bake until the water has evaporated. Top with fresh basil and enjoy! ",-1
Jamaican-Style No-Chick’n Curry (NF),Prep+Cooking time: 45  mins  Servings: 4,12 oz. Lions Mane * 4 small sweet potatoes diced large into 2-3 inch cubes. 2 cloves garlic minced 1 small yellow onion diced 1 jalapeno finely chopped 2 tbsp curry powder ½  tsp allspice ½  tsp thyme 2 tsp salt or to taste 1/2 cup green lentils 2-3 cups water 1 cup green peas Note: You may sub oyster mushrooms for the lion’s mane mushrooms ,Knife Peeler Cast Iron Pan Burger Press OR Heavy Pan  ,"PREPARE THE MUSHROOMS Break the Lions Mane mushroom into bite-size pieces.  Heat a well-seasoned cast iron pan on medium heat. Add the mushrooms and using a burger press or heavy pan, press the mushrooms to release the excess water. Once the water begins to release, increase the temperature to high until all the water has evaporated and the mushrooms are lightly browned. START THE CURRY Add ¼ cup of water to the pan and heat on medium-high. Add onions and water-saute for 2-3 minutes. Add minced garlic and jalapeno. Saute for an additional 2-3 minutes. Add water as necessary. Add dry spices. Saute momentarily. ADD THE LENTILS Add lentils and 1 cup of water. Cover and simmer for 10 minutes. ADD THE SWEET POTATOES Add sweet potatoes. Add 1 cup of water. Cover and simmer for 15 minutes or until potatoes are just soft.  FINISHING IT UP Add prepared lions mane mushrooms and simmer for 5 minutes or until potatoes are breaking ever so slightly( do not overcook) Add peas and stir. You can add more water in small amounts if necessary. As the potatoes break down slightly the sauce will thicken. Allow to sit and thicken before eating. Enjoy! "
Mushroom Medley Pasta (NF Option),Prep+Cooking time: 35  mins  Servings: 2,1 box of lentil pasta (approx. 270g) Optional- Breadcrumbs SAUCE 1 1/4 cups raw cashews (soaked for min. 2 hours and drained) 2 cups water 2 cloves garlic 2 tsp salt Pepper to taste *You may adjust the thickness by adding water as necessary. MUSHROOMS 4 oz sliced portobello mushrooms 4 oz sliced white mushrooms 4 oz sliced shiitake mushrooms 2 tsp garlic granules 1 tsp onion granules 1 tsp dried parsley 1 tsp paprika Salt and pepper to taste Fresh Italian parsley for garnish Nut Free Option - Use 15 oz. white cannellini beans and ½ cup hemp seeds to replace cashews OPTIONAL TO MAKE YOUR OWN… HV Almond breadcrumbs ,Pot Saucepan Strainer High-speed Blender Cast Iron Pan STEP-BY-STEP INSTRUCTIONS PREPARE THE PASTA ,"MAKE THE MUSHROOMS In a pan add a little water and sauté mushrooms on high until almost all the water is cooked off. Add seasonings and cook for an additional 2-3 minutes. Add little bits of water if necessary to prevent sticking. MAKE THE SAUCE Combine sauce ingredients in a high-speed blender and blend until smooth. Adjust thickness as necessary. COMBINE Add the sauce to a pot and heat just until it bubbles. The sauce will thicken when heated. Add noodles and mix. Add noodles to a plate and top with mushrooms, parsley, and optionally almond crumbs. Enjoy! "
